Date,BVN,ETH-USD,GLD,PEN,SCCO
2015-11-27,4.699999809265137,,101.25,50.25,25.68000030517578
2015-11-30,4.739999771118164,,101.91999816894531,50.31999969482422,25.729999542236328
2015-12-01,4.880000114440918,,102.27999877929688,52.54999923706055,26.139999389648438
2015-12-02,4.75,,100.69000244140625,52.13999938964844,25.25
2015-12-03,4.78000020980835,,101.76000213623047,48.90999984741211,25.68000030517578
2015-12-04,5.010000228881836,,104.0199966430664,49.7400016784668,26.790000915527344
2015-12-07,4.539999961853027,,102.66999816894531,47.599998474121094,25.959999084472656
2015-12-08,4.639999866485596,,102.83999633789062,45.5,24.799999237060547
2015-12-09,4.809999942779541,,102.63999938964844,47.849998474121094,25.209999084472656
2015-12-10,4.630000114440918,,102.55000305175781,51.5,25.329999923706055
2015-12-11,4.510000228881836,,103.11000061035156,53.869998931884766,24.899999618530273
2015-12-14,4.119999885559082,,101.79000091552734,51.68000030517578,25.030000686645508
2015-12-15,4.130000114440918,,101.5199966430664,53.06999969482422,25.450000762939453
2015-12-16,4.300000190734863,,102.75,55.599998474121094,25.709999084472656
2015-12-17,4.170000076293945,,100.5,54.970001220703125,24.940000534057617
2015-12-18,4.050000190734863,,102.04000091552734,54.97999954223633,24.889999389648438
2015-12-21,3.880000114440918,,103.1500015258789,54.56999969482422,24.450000762939453
2015-12-22,3.9200000762939453,,102.61000061035156,55.22999954223633,24.8700008392334
2015-12-23,4.21999979019165,,102.30999755859375,54.36000061035156,26.690000534057617
2015-12-24,4.349999904632568,,103.05000305175781,54.220001220703125,26.90999984741211
2015-12-28,4.260000228881836,,102.2699966430664,55.08000183105469,26.270000457763672
2015-12-29,4.210000038146973,,102.19999694824219,54.720001220703125,26.68000030517578
2015-12-30,4.210000038146973,,101.41999816894531,54.900001525878906,26.34000015258789
2015-12-31,4.28000020980835,,101.45999908447266,53.810001373291016,26.1200008392334
2016-01-04,4.420000076293945,,102.88999938964844,55.709999084472656,25.65999984741211
2016-01-05,4.440000057220459,,103.18000030517578,55.029998779296875,25.950000762939453
2016-01-06,4.340000152587891,,104.66999816894531,55.0,25.200000762939453
2016-01-07,4.309999942779541,,106.1500015258789,53.560001373291016,24.559999465942383
2016-01-08,4.230000019073486,,105.68000030517578,55.220001220703125,24.06999969482422
2016-01-11,4.110000133514404,,104.73999786376953,55.33000183105469,23.389999389648438
2016-01-12,4.139999866485596,,104.20999908447266,54.9900016784668,22.770000457763672
2016-01-13,4.260000228881836,,104.72000122070312,53.54999923706055,22.65999984741211
2016-01-14,4.079999923706055,,103.0199966430664,52.9900016784668,22.8700008392334
2016-01-15,3.759999990463257,,104.08000183105469,49.06999969482422,22.709999084472656
2016-01-19,3.380000114440918,,103.9800033569336,48.40999984741211,22.290000915527344
2016-01-20,3.509999990463257,,105.37000274658203,46.529998779296875,22.65999984741211
2016-01-21,3.5799999237060547,,105.48999786376953,45.66999816894531,23.010000228881836
2016-01-22,3.6500000953674316,,105.0,44.810001373291016,23.6200008392334
2016-01-25,3.740000009536743,,106.08000183105469,46.0,23.489999771118164
2016-01-26,4.170000076293945,,107.29000091552734,44.95000076293945,24.989999771118164
2016-01-27,4.139999866485596,,107.69000244140625,43.5,24.739999771118164
2016-01-28,3.9000000953674316,,106.54000091552734,42.36000061035156,24.979999542236328
2016-01-29,4.0,,106.94999694824219,42.79999923706055,25.920000076293945
2016-02-01,4.199999809265137,,108.05000305175781,45.29999923706055,25.3799991607666
2016-02-02,4.139999866485596,,108.08999633789062,45.75,24.18000030517578
2016-02-03,4.510000228881836,,109.25,44.9900016784668,25.43000030517578
2016-02-04,4.699999809265137,,110.56999969482422,45.38999938964844,26.93000030517578
2016-02-05,4.860000133514404,,112.31999969482422,43.880001068115234,26.5
2016-02-08,4.769999980926514,,113.83000183105469,44.529998779296875,26.079999923706055
2016-02-09,4.449999809265137,,113.58000183105469,43.810001373291016,25.3799991607666
2016-02-10,4.78000020980835,,114.45999908447266,44.189998626708984,25.100000381469727
2016-02-11,5.309999942779541,,119.05999755859375,42.41999816894531,24.649999618530273
